,title,year,bond,boactual,boadjusted,budgetactual,budgetadjusted,creditlength,song,artist,lyrics
0,Dr. No,1962,Sean Connery,59.5,448.8,1.1,7,160,,,None
1,From Russia with Love,1963,Sean Connery,78.9,543.8,2,12.6,146,From Russia with Love,Matt Monro,"From Russia with love I fly to you
 Much wiser since my good-bye to you
 I've traveled the world to learn
 I must return from Russia with love
 I've seen places, faces and smiled for a moment
 But oh, you haunted me so
 Still my tongue tied young pride
 Ld not let my love for you show in case you'd say no
 To Russia I flew but there and then
 I suddenly knew you'd care again
 My running around is through
 I fly to you from Russia with love"
2,Goldfinger,1964,Sean Connery,124.9,820.4,3,18.6,170,Goldfinger,Shirley Bassey,"Goldfinger
 He's the man
 The man with the Midas touch
 A spider's touch
 Such a cold finger
 Beckons you to enter his web of sin
 But don't go in
 Golden words he will pour in your ear
 But his lies can't disguise what you fear
 For a golden girl knows when he's kissed her
 It's the kiss of death from Mr. Goldfinger
 Pretty girl, beware of his heart of gold
 This heart is cold
 Golden words he will pour in your ear
 But his lies can't disguise what you fear
 For a golden girl knows when he's kissed her
 It's the kiss of death from Mr. Goldfinger
 Pretty girl, beware of his heart of gold
 This heart is cold
 He loves only gold
 Only gold
 He loves gold
 He loves only gold
 Only gold
 He loves gold"
3,Thunderball,1965,Sean Connery,141.2,848.1,6.8,41.9,179,Thunderball,Tom Jones,"He always runs while others walk
 He acts while other men just talk
 He looks at this world, and wants it all
 So he strikes, like Thunderball
 He knows the meaning of success
 His needs are more, so he gives less
 They call him the winner who takes all
 And he strikes, like Thunderball
 Any woman he wants, he'll get
 He will break any heart without regret
 His days of asking are all gone
 His fight goes on and on and on
 But he thinks that the fight is worth it all
 So he strikes, like Thunderball"
4,You Only Live Twice,1967,Sean Connery,111.6,514.2,10.3,59.9,164,You Only Live Twice,Nancy Sinatra,"You only live twice
 Or so it seems
 One life for yourself
 And one for your dreams
 You drift through the years
 And life seems tame
 'Til one dream appears
 And Love is its name
 And love is a stranger
 Who'll beckon you on
 Don't think of the danger
 Or the stranger is gone
 This dream is for you
 So pay the price
 Make one dream come true
 You only live twice
 And love is a stranger
 Who'll beckon you on
 Don't think of the danger
 Or the stranger is gone
 This dream is for you
 So pay the price
 Make one dream come true
 You only live twice"
5,On Her Majesty's Secret Service,1969,George Lazenby,64.6,291.5,7,37.3,164,We Have All the Time in the World,Louis Armstrong,"We have all the time in the world
 Time enough for life
 To unfold all the precious things
 Love has in store
 We have all the love in the world
 If that's all we have you will find
 We need nothing more
 Every step of the way
 Will find us
 With the cares of the world
 Far behind us
 We have all the time in the world
 Just for love
 Nothing more, nothing less
 Only love
 Every step of the way
 Will find us
 With the cares of the world
 Far behind us, yes
 We have all the time in the world
 Just for love
 Nothing more, nothing less
 Only love
 Only love"
6,Diamonds Are Forever,1971,Sean Connery,116,442.5,7.2,34.7,173,Diamonds are forever,Shirley Bassey,"Diamonds are forever
 They are all I need to please me
 They can stimulate and tease me
 They won't leave in the night
 I've no fear that they might desert me
 Diamonds are forever
 Hold one up and then caress it
 Touch it, stroke it and undress it
 I can see every part
 Nothing hides in the heart to hurt me
 I don't need love
 For what good will love do me?
 Diamonds never lie to me
 For when love's gone
 They'll luster on
 Diamonds are forever
 Sparkling round my little finger
 Unlike men, the diamonds linger;
 Men are mere mortals who
 Are not worth going to your grave for
 I don't need love
 For what good will love do me?
 Diamonds never lie to me
 For when love's gone
 They'll luster on
 Diamonds are forever, forever, forever
 Diamonds are forever, forever, forever
 Forever and ever"
7,Live and Let Die,1973,Roger Moore,126.4,460.3,7,30.8,168,Live and Let Die,Paul McCartney & Wings,"When you were young and your heart was an open book
 You used to say live and let live
 But if this ever changing world in which we're living
 Makes you give in and cry
 Say live and let die
 Live and let die
 What does it matter to you?
 When you got a job to do
 You got to do it well
 You got to give the other fellow hell
 You used to say live and let live
 But if this ever changing world in which we're living
 Makes you give in and cry
 Say live and let die
 Live and let die
 You used to say ""Live and let live"" yeah"
8,The Man with the Golden Gun,1974,Roger Moore,97.6,334,7,27.7,154,The Man with the Golden Gun,Lulu,"He has a powerful weapon
 He charges a million a shot
 An assassin that's second to none
 The man with the golden gun
 Lurking in some darkened doorway
 Or crouched on a roof top somewhere
 In the next room, or this very one
 The man with the golden gun
 Love is required whenever he's hired
 It comes just before the kill
 No-one can catch him, no hit man can match him
 For his million dollar skill
 One golden shot means another poor victim
 Has come to a glittering end
 For a price, he'll erase anyone
 The man with the golden gun
 His eye may be on you or me
 Who will he bang?
 We shall see
 Oh yeah!
 Love is required whenever he's hired
 It comes just before the kill
 No-one can catch him, no hit man can match him
 For his million dollar skill
 One golden shot means another poor victim
 Has come to a glittering end
 If you want to get rid of someone
 The man with the golden gun
 Will get it done
 He'll shoot anyone
 With his golden gun"
9,The Spy Who Loved Me,1977,Roger Moore,185.4,533,14,45.1,169,Nobody Does it Better,Carly Simon,"Nobody does it better
 Makes me feel sad for the rest
 Nobody does it half as good as you
 Baby, you’re the best
 I wasn’t looking
 But somehow you found me
 I tried to hide from your love light
 But like heaven above me
 The spy who loved me
 Is keeping all my secrets safe tonight
 And nobody does it better
 Though sometimes I wish someone could
 Nobody does it quite the way you do
 Why d’you have to be so good?
 The way that you hold me
 Whenever you hold me
 There’s some kind of magic inside you
 That keeps me from running
 But just keep it comin’
 How’d you learn to do the things you do?
 Oh, and nobody does it better
 Makes me feel sad for the rest
 Nobody does it half as good as you
 Baby, baby, darlin’ you’re the best
 Baby you're the best
 Darlin', you're the best
 Baby you're the best"
